地區,綜合所得總額-平均數(萬元)
臺北市大安區,149.4
臺北市松山區,127.8
臺北市中正區,126.9
新竹市東區,125.5
臺北市信義區,116.9
新竹縣寶山鄉,114.9
臺北市中山區,114.3
新竹縣竹北市,111.9
臺北市士林區,110.6
臺北市內湖區,109.5
高雄市鳥松區,106.1
臺北市文山區,105.9
臺北市北投區,100.6
臺中市西區,97.0
連江縣南竿鄉,95.6
高雄市新興區,94.6
高雄市前金區,94.4
臺中市南屯區,94.4
新北市新店區,92.6
新北市永和區,91.3
臺南市東區,91.3
臺中市西屯區,91.3
新北市林口區,90.8
臺南市中西區,88.5
高雄市苓雅區,87.9
新竹市北區,87.4
桃園市桃園區,86.7
臺北市大同區,86.6
臺北市南港區,86.4
連江縣東引鄉,86.3
連江縣莒光鄉,86.1
金門縣金城鎮,85.7
高雄市鼓山區,85.2
高雄市左營區,84.9
桃園市蘆竹區,84.8
新北市淡水區,84.8
臺中市中區,84.5
新竹縣竹東鎮,84.4
新竹縣芎林鄉,84.2
新北市汐止區,83.0
臺中市北區,81.7
高雄市鹽埕區,81.5
嘉義市東區,81.4
高雄市三民區,81.0
連江縣北竿鄉,80.5
金門縣金寧鄉,80.0
臺南市北區,79.9
彰化縣大村鄉,79.8
澎湖縣馬公市,79.7
新竹市香山區,79.7
金門縣金湖鎮,79.3
臺南市安平區,78.6
臺中市北屯區,78.5
金門縣烏坵鄉,78.3
臺南市新營區,77.8
臺中市南區,77.7
桃園市中壢區,77.4
新北市中和區,76.7
金門縣金沙鎮,76.6
新北市板橋區,76.6
臺北市萬華區,76.5
桃園市龍潭區,76.1
新北市深坑區,75.9
臺東縣綠島鄉,75.8
基隆市信義區,75.8
桃園市龜山區,75.6
花蓮縣花蓮市,75.5
高雄市小港區,74.9
基隆市安樂區,74.9
高雄市前鎮區,74.4
屏東縣恆春鎮,74.0
苗栗縣苗栗市,73.5
高雄市楠梓區,73.3
雲林縣斗六市,72.9
高雄市鳳山區,72.9
桃園市平鎮區,72.8
宜蘭縣宜蘭市,72.8
新竹縣新豐鄉,72.6
苗栗縣竹南鎮,72.4
彰化縣彰化市,72.3
宜蘭縣羅東鎮,72.3
桃園市楊梅區,72.2
南投縣南投市,72.0
桃園市復興區,72.0
臺東縣臺東市,71.8
新北市泰山區,71.8
屏東縣屏東市,71.7
金門縣烈嶼鄉,71.3
新北市烏來區,71.3
基隆市暖暖區,71.2
嘉義市西區,71.1
臺南市善化區,71.1
臺南市永康區,71.0
新竹縣新埔鎮,70.9
雲林縣虎尾鎮,70.7
嘉義縣太保市,70.6
彰化縣員林市,70.6
苗栗縣頭份市,70.3
新北市新莊區,70.2
基隆市仁愛區,69.9
高雄市仁武區,69.6
高雄市岡山區,69.6
新北市三峽區,69.4
高雄市橋頭區,69.2
新北市蘆洲區,69.0
新北市土城區,69.0
臺中市東區,68.7
臺東縣金峰鄉,68.6
基隆市中山區,68.6
新竹縣湖口鄉,68.5
花蓮縣吉安鄉,68.4
嘉義縣朴子市,68.4
新北市三重區,68.4
新北市八里區,68.4
新北市樹林區,68.1
基隆市中正區,67.9
基隆市七堵區,67.8
臺中市豐原區,67.8
高雄市美濃區,67.7
屏東縣麟洛鄉,67.5
桃園市大溪區,67.5
臺中市大甲區,67.3
嘉義縣民雄鄉,67.1
桃園市八德區,66.8
高雄市大社區,66.8
新北市五股區,66.4
高雄市那瑪夏區,66.4
南投縣草屯鎮,66.3
苗栗縣泰安鄉,66.0
臺中市大里區,66.0
新竹縣關西鎮,65.9
桃園市大園區,65.9
屏東縣長治鄉,65.8
