地區,股利所得占比(％)
彰化縣大村鄉,32.9
臺北市大安區,22.2
臺北市信義區,20.8
高雄市鹽埕區,19.5
臺南市中西區,19.3
臺北市中山區,19.1
臺北市士林區,19.0
臺北市中正區,18.9
高雄市鳥松區,18.4
彰化縣鹿港鎮,18.2
臺北市松山區,17.9
臺中市中區,17.0
新竹市東區,16.4
高雄市新興區,16.3
臺中市西區,15.9
高雄市前金區,15.7
臺中市大甲區,15.4
臺北市大同區,14.9
彰化縣福興鄉,14.7
臺中市豐原區,14.7
彰化縣員林市,14.4
屏東縣恆春鎮,14.3
臺中市東區,14.2
高雄市苓雅區,14.1
臺中市西屯區,13.9
臺北市北投區,13.6
彰化縣和美鎮,13.4
臺中市神岡區,13.3
彰化縣彰化市,12.8
臺中市南屯區,12.8
臺中市外埔區,12.4
彰化縣線西鄉,12.0
彰化縣秀水鄉,12.0
臺中市北區,12.0
臺北市內湖區,11.9
新竹縣寶山鄉,11.8
新北市五股區,11.8
高雄市路竹區,11.8
臺中市烏日區,11.8
新北市烏來區,11.6
高雄市岡山區,11.6
臺南市南區,11.6
臺南市北區,11.4
高雄市湖內區,11.3
臺中市沙鹿區,11.3
臺中市太平區,11.3
彰化縣花壇鄉,11.2
桃園市復興區,11.1
新北市淡水區,11.0
高雄市仁武區,11.0
臺中市大里區,11.0
新北市樹林區,10.9
高雄市鼓山區,10.8
新竹市香山區,10.7
臺中市北屯區,10.7
臺中市梧棲區,10.6
臺中市大雅區,10.6
臺北市萬華區,10.6
臺南市東區,10.5
桃園市桃園區,10.4
臺南市安平區,10.4
臺南市仁德區,10.4
彰化縣溪湖鎮,10.3
彰化縣埔心鄉,10.3
桃園市蘆竹區,10.3
高雄市三民區,10.3
彰化縣埔鹽鄉,10.1
苗栗縣竹南鎮,10.0
臺中市龍井區,10.0
新北市林口區,9.9
新北市石門區,9.9
臺南市永康區,9.9
臺中市清水區,9.9
臺中市大肚區,9.9
臺中市霧峰區,9.9
臺中市石岡區,9.8
高雄市阿蓮區,9.7
彰化縣伸港鄉,9.6
高雄市前鎮區,9.6
臺南市安南區,9.6
臺南市安定區,9.6
臺中市潭子區,9.6
彰化縣永靖鄉,9.5
彰化縣溪州鄉,9.4
臺中市南區,9.4
彰化縣埤頭鄉,9.3
新北市新莊區,9.3
新北市新店區,9.3
新北市三重區,9.2
臺南市歸仁區,9.2
雲林縣麥寮鄉,9.1
新竹市北區,9.1
新北市八里區,9.1
臺南市新營區,9.0
雲林縣土庫鎮,8.9
彰化縣芳苑鄉,8.9
雲林縣斗六市,8.8
彰化縣田尾鄉,8.7
新北市蘆洲區,8.7
臺北市文山區,8.7
澎湖縣西嶼鄉,8.6
新竹縣竹北市,8.6
嘉義縣東石鄉,8.5
桃園市大溪區,8.5
高雄市大寮區,8.5
臺北市南港區,8.5
屏東縣佳冬鄉,8.4
新竹縣芎林鄉,8.4
新北市板橋區,8.4
高雄市永安區,8.4
高雄市燕巢區,8.4
嘉義市西區,8.3
新北市泰山區,8.3
高雄市田寮區,8.3
臺中市大安區,8.3
南投縣南投市,8.2
嘉義市東區,8.2
新北市坪林區,8.2
新北市土城區,8.2
高雄市左營區,8.2
高雄市小港區,8.2
臺南市山上區,8.2
彰化縣社頭鄉,8.1
南投縣鹿谷鄉,8.1
臺南市佳里區,8.1
臺南市南化區,8.1
雲林縣斗南鎮,8.0
雲林縣元長鄉,7.9
新北市石碇區,7.9
新北市三峽區,7.9
高雄市大社區,7.9
臺中市后里區,7.9
雲林縣水林鄉,7.8
南投縣草屯鎮,7.8
新北市永和區,7.8
高雄市鳳山區,7.8
臺東縣太麻里鄉,7.7
彰化縣北斗鎮,7.7
桃園市龜山區,7.7
高雄市甲仙區,7.7
臺南市西港區,7.7
臺南市七股區,7.7
雲林縣褒忠鄉,7.6
苗栗縣苑裡鎮,7.6
苗栗縣南庄鄉,7.6
桃園市中壢區,7.6
宜蘭縣羅東鎮,7.6
宜蘭縣蘇澳鎮,7.6
基隆市仁愛區,7.6
花蓮縣新城鄉,7.5
嘉義縣鹿草鄉,7.5
臺中市新社區,7.5
嘉義縣民雄鄉,7.4
新北市汐止區,7.4
臺南市新市區,7.4
臺南市關廟區,7.4
嘉義縣六腳鄉,7.3
雲林縣虎尾鎮,7.3
彰化縣大城鄉,7.3
新竹縣竹東鎮,7.3
高雄市橋頭區,7.3
臺南市鹽水區,7.3
嘉義縣朴子市,7.2
嘉義縣新港鄉,7.2
嘉義縣太保市,7.2
桃園市楊梅區,7.2
桃園市新屋區,7.2
新北市三芝區,7.2
臺南市麻豆區,7.2
臺南市善化區,7.2
臺南市楠西區,7.2
嘉義縣義竹鄉,7.1
嘉義縣水上鄉,7.1
嘉義縣番路鄉,7.1
雲林縣西螺鎮,7.1
雲林縣莿桐鄉,7.1
苗栗縣頭份市,7.1
桃園市大園區,7.1
桃園市平鎮區,7.1
新北市萬里區,7.1
高雄市大樹區,7.1
雲林縣崙背鄉,7.0
彰化縣竹塘鄉,7.0
新竹縣新埔鎮,7.0
臺南市新化區,7.0
臺中市東勢區,7.0
嘉義縣溪口鄉,6.9
雲林縣大埤鄉,6.9
桃園市八德區,6.9
新北市中和區,6.9
高雄市梓官區,6.9
雲林縣臺西鄉,6.8
彰化縣田中鎮,6.8
彰化縣二林鎮,6.8
新竹縣新豐鄉,6.8
新北市鶯歌區,6.8
新北市貢寮區,6.8
屏東縣萬丹鄉,6.7
嘉義縣大林鎮,6.7
嘉義縣中埔鄉,6.7
雲林縣二崙鄉,6.7
南投縣名間鄉,6.7
新竹縣橫山鄉,6.7
桃園市觀音區,6.7
臺南市白河區,6.7
臺南市將軍區,6.7
連江縣北竿鄉,6.6
屏東縣東港鎮,6.6
南投縣魚池鄉,6.6
新竹縣北埔鄉,6.6
