地區,薪資所得占比(％)
臺東縣海端鄉,96.2
臺東縣蘭嶼鄉,94.7
屏東縣霧臺鄉,94.5
花蓮縣萬榮鄉,93.8
花蓮縣卓溪鄉,93.8
臺東縣達仁鄉,92.7
屏東縣春日鄉,92.6
屏東縣瑪家鄉,91.9
臺東縣延平鄉,91.5
屏東縣獅子鄉,91.4
屏東縣泰武鄉,90.9
花蓮縣秀林鄉,90.7
屏東縣來義鄉,90.7
屏東縣三地門鄉,90.5
花蓮縣豐濱鄉,90.3
屏東縣牡丹鄉,90.3
宜蘭縣大同鄉,90.1
臺東縣金峰鄉,89.9
新竹縣尖石鄉,89.9
臺東縣長濱鄉,89.7
新竹縣五峰鄉,89.6
宜蘭縣南澳鄉,89.1
高雄市桃源區,88.9
澎湖縣七美鄉,88.3
臺東縣綠島鄉,88.3
高雄市那瑪夏區,87.5
高雄市茂林區,87.4
屏東縣琉球鄉,86.9
花蓮縣富里鄉,86.7
臺東縣東河鄉,86.6
澎湖縣望安鄉,86.3
連江縣東引鄉,86.2
苗栗縣頭屋鄉,86.2
屏東縣新埤鄉,86.0
苗栗縣造橋鄉,85.9
連江縣南竿鄉,85.8
臺東縣大武鄉,85.7
南投縣信義鄉,85.6
基隆市暖暖區,85.5
基隆市中山區,85.4
屏東縣崁頂鄉,85.2
新北市瑞芳區,85.2
臺東縣成功鎮,85.1
基隆市安樂區,85.1
花蓮縣光復鄉,85.0
苗栗縣銅鑼鄉,85.0
苗栗縣泰安鄉,85.0
高雄市林園區,85.0
南投縣仁愛鄉,84.9
屏東縣鹽埔鄉,84.8
臺東縣卑南鄉,84.7
屏東縣滿州鄉,84.7
新北市平溪區,84.7
屏東縣麟洛鄉,84.5
金門縣烏坵鄉,84.4
屏東縣枋寮鄉,84.4
宜蘭縣壯圍鄉,84.4
新北市深坑區,84.4
高雄市茄萣區,84.3
高雄市杉林區,84.3
花蓮縣玉里鎮,84.2
雲林縣林內鄉,84.2
澎湖縣湖西鄉,84.1
花蓮縣壽豐鄉,83.9
屏東縣南州鄉,83.9
臺南市北門區,83.9
屏東縣新園鄉,83.8
臺南市大內區,83.8
苗栗縣公館鄉,83.7
高雄市旗津區,83.7
屏東縣車城鄉,83.6
高雄市彌陀區,83.6
高雄市內門區,83.6
苗栗縣三灣鄉,83.5
新竹縣湖口鄉,83.5
新竹縣新豐鄉,83.4
臺南市官田區,83.4
屏東縣長治鄉,83.3
彰化縣二水鄉,83.2
南投縣中寮鄉,83.2
桃園市觀音區,83.2
新北市鶯歌區,83.2
臺南市下營區,83.2
基隆市七堵區,83.2
臺東縣鹿野鄉,83.1
屏東縣內埔鄉,83.1
屏東縣竹田鄉,83.0
屏東縣林邊鄉,82.9
基隆市信義區,82.9
金門縣烈嶼鄉,82.8
屏東縣九如鄉,82.8
苗栗縣三義鄉,82.8
花蓮縣鳳林鎮,82.7
屏東縣枋山鄉,82.7
新竹縣橫山鄉,82.7
宜蘭縣五結鄉,82.7
新北市坪林區,82.6
臺南市柳營區,82.6
嘉義縣鹿草鄉,82.5
苗栗縣獅潭鄉,82.5
苗栗縣西湖鄉,82.4
基隆市中正區,82.4
苗栗縣通霄鎮,82.3
桃園市八德區,82.3
嘉義縣布袋鎮,82.2
新竹縣新埔鎮,82.2
新竹縣峨眉鄉,82.2
桃園市楊梅區,82.2
新北市貢寮區,82.2
高雄市大樹區,82.2
臺南市山上區,82.2
連江縣北竿鄉,82.1
嘉義縣阿里山鄉,82.1
雲林縣四湖鄉,82.1
新竹縣北埔鄉,82.1
連江縣莒光鄉,82.0
雲林縣東勢鄉,82.0
高雄市永安區,82.0
高雄市梓官區,82.0
臺南市七股區,82.0
嘉義縣溪口鄉,81.9
花蓮縣吉安鄉,81.8
南投縣名間鄉,81.8
新竹縣關西鎮,81.8
桃園市新屋區,81.8
臺南市六甲區,81.8
臺南市將軍區,81.8
屏東縣萬巒鄉,81.7
屏東縣佳冬鄉,81.7
新竹縣竹東鎮,81.7
新北市雙溪區,81.7
雲林縣大埤鄉,81.6
桃園市龍潭區,81.6
桃園市平鎮區,81.6
新北市石碇區,81.6
臺南市後壁區,81.6
臺南市關廟區,81.6
嘉義縣水上鄉,81.5
彰化縣芬園鄉,81.5
苗栗縣頭份市,81.5
苗栗縣大湖鄉,81.5
桃園市大園區,81.5
新北市金山區,81.5
新北市萬里區,81.5
新北市汐止區,81.5
高雄市六龜區,81.5
金門縣金寧鄉,81.4
臺東縣關山鎮,81.4
臺東縣池上鄉,81.4
臺南市東山區,81.4
臺中市和平區,81.4
金門縣金湖鎮,81.3
屏東縣萬丹鄉,81.3
雲林縣古坑鄉,81.3
宜蘭縣蘇澳鎮,81.3
新北市烏來區,81.3
新北市三峽區,81.3
新北市土城區,81.3
高雄市楠梓區,81.3
花蓮縣瑞穗鄉,81.2
苗栗縣後龍鎮,81.2
宜蘭縣冬山鄉,81.2
新北市中和區,81.2
高雄市小港區,81.2
臺南市左鎮區,81.2
高雄市橋頭區,81.1
臺南市學甲區,81.1
宜蘭縣員山鄉,81.0
新北市泰山區,80.9
雲林縣元長鄉,80.8
彰化縣田中鎮,80.8
嘉義縣中埔鄉,80.7
雲林縣口湖鄉,80.7
臺南市龍崎區,80.7
嘉義縣大林鎮,80.6
彰化縣大城鄉,80.6
南投縣國姓鄉,80.6
新北市石門區,80.6
嘉義縣大埔鄉,80.5
雲林縣莿桐鄉,80.5
臺南市善化區,80.5
臺東縣太麻里鄉,80.4
雲林縣臺西鄉,80.4
嘉義縣民雄鄉,80.3
嘉義縣太保市,80.3
雲林縣二崙鄉,80.3
高雄市大社區,80.3
花蓮縣新城鄉,80.2
嘉義縣東石鄉,80.2
苗栗縣苗栗市,80.2
臺南市玉井區,80.2
臺中市大安區,80.2
澎湖縣白沙鄉,80.1
金門縣金沙鎮,80.1
嘉義縣竹崎鄉,80.1
南投縣鹿谷鄉,80.1
高雄市美濃區,80.1
臺南市新市區,80.1
金門縣金城鎮,80.0
宜蘭縣三星鄉,79.9
高雄市燕巢區,79.9
臺東縣臺東市,79.8
嘉義縣新港鄉,79.8
新北市三芝區,79.8
臺南市鹽水區,79.8
苗栗縣南庄鄉,79.7
新竹縣芎林鄉,79.7
高雄市大寮區,79.7
嘉義縣六腳鄉,79.6
新竹縣竹北市,79.6
宜蘭縣頭城鎮,79.6
屏東縣里港鄉,79.5
雲林縣崙背鄉,79.5
桃園市中壢區,79.5
新北市蘆洲區,79.5
臺南市新化區,79.5
嘉義縣義竹鄉,79.4
雲林縣褒忠鄉,79.4
彰化縣社頭鄉,79.4
南投縣魚池鄉,79.4
苗栗縣苑裡鎮,79.3
高雄市鳳山區,79.3
臺南市西港區,79.2
臺中市東勢區,79.1
臺中市大肚區,79.1
屏東縣東港鎮,79.0
彰化縣田尾鄉,79.0
高雄市田寮區,79.0
臺南市楠西區,79.0
臺中市新社區,79.0
彰化縣芳苑鄉,78.9
宜蘭縣礁溪鄉,78.9
臺北市南港區,78.9
嘉義縣梅山鄉,78.8
新北市板橋區,78.8
新北市八里區,78.8
澎湖縣馬公市,78.7
彰化縣二林鎮,78.7
高雄市甲仙區,78.7
苗栗縣竹南鎮,78.6
新北市新莊區,78.6
臺南市白河區,78.6
臺南市歸仁區,78.6
嘉義縣番路鄉,78.5
雲林縣水林鄉,78.5
桃園市大溪區,78.5
新北市三重區,78.5
臺南市安定區,78.5
彰化縣伸港鄉,78.4
高雄市阿蓮區,78.4
臺中市石岡區,78.4
彰化縣永靖鄉,78.3
苗栗縣卓蘭鎮,78.3
新竹市香山區,78.2
南投縣竹山鎮,78.1
桃園市蘆竹區,78.1
宜蘭縣宜蘭市,78.1
臺南市麻豆區,78.1
屏東縣潮州鎮,78.0
彰化縣竹塘鄉,78.0
高雄市旗山區,78.0
雲林縣土庫鎮,77.8
彰化縣溪州鄉,77.8
南投縣集集鎮,77.8
南投縣水里鄉,77.8
桃園市龜山區,77.8
臺南市南化區,77.8
臺中市后里區,77.8
臺中市龍井區,77.8
彰化縣埤頭鄉,77.7
新北市樹林區,77.7
高雄市仁武區,77.7
臺南市佳里區,77.7
新北市林口區,77.6
屏東縣高樹鄉,77.5
新北市永和區,77.4
高雄市湖內區,77.4
臺南市仁德區,77.4
臺中市潭子區,77.4
屏東縣屏東市,77.3
雲林縣西螺鎮,77.3
臺中市梧棲區,77.3
雲林縣麥寮鄉,77.2
南投縣埔里鎮,77.2
臺北市文山區,77.2
新北市五股區,77.1
新北市新店區,77.1
高雄市前鎮區,77.1
雲林縣虎尾鎮,77.0
高雄市左營區,77.0
澎湖縣西嶼鄉,76.9
花蓮縣花蓮市,76.9
南投縣草屯鎮,76.9
臺南市安南區,76.9
臺中市外埔區,76.9
彰化縣埔心鄉,76.8
雲林縣北港鎮,76.6
新北市淡水區,76.6
臺南市永康區,76.6
雲林縣斗南鎮,76.5
新竹市北區,76.4
南投縣南投市,76.4
臺中市清水區,76.3
彰化縣北斗鎮,76.2
高雄市路竹區,76.0
臺南市新營區,75.9
桃園市桃園區,75.8
彰化縣線西鄉,75.7
新竹縣寶山鄉,75.6
臺中市南區,75.6
彰化縣花壇鄉,75.5
雲林縣斗六市,75.3
臺中市霧峰區,75.1
彰化縣埔鹽鄉,75.0
基隆市仁愛區,75.0
臺中市太平區,74.8
臺中市沙鹿區,74.7
彰化縣溪湖鎮,74.6
高雄市三民區,74.6
臺中市大里區,74.6
嘉義縣朴子市,74.5
宜蘭縣羅東鎮,74.4
臺南市安平區,74.3
臺北市內湖區,74.3
臺中市烏日區,74.1
高雄市鼓山區,74.0
臺中市大雅區,74.0
嘉義市西區,73.9
屏東縣恆春鎮,73.8
彰化縣秀水鄉,73.7
高雄市岡山區,73.5
臺南市東區,73.2
臺中市北屯區,73.1
臺北市萬華區,73.0
臺南市南區,72.8
彰化縣和美鎮,72.7
彰化縣福興鄉,72.6
嘉義市東區,72.4
臺南市北區,72.4
臺北市北投區,71.1
新竹市東區,70.6
彰化縣彰化市,70.3
臺中市大甲區,70.3
臺中市南屯區,70.2
桃園市復興區,70.1
臺中市西屯區,69.9
臺中市神岡區,69.8
彰化縣員林市,69.5
臺中市北區,69.1
高雄市苓雅區,69.0
臺中市東區,68.1
彰化縣鹿港鎮,67.4
臺中市豐原區,67.0
臺北市大同區,66.6
臺北市士林區,64.0
臺中市西區,63.7
臺北市信義區,63.7
臺北市松山區,63.5
臺北市中正區,62.6
高雄市鳥松區,62.5
臺北市中山區,62.3
高雄市前金區,62.0
高雄市鹽埕區,61.7
高雄市新興區,61.5
臺南市中西區,59.9
臺北市大安區,58.4
彰化縣大村鄉,57.9
臺中市中區,55.8
