地區,申報戶數(戶)
新北市板橋區,"149,672"
新北市中和區,"120,250"
新北市新莊區,"109,943"
桃園市桃園區,"108,378"
臺北市大安區,"105,263"
新北市三重區,"101,703"
桃園市中壢區,"94,450"
新北市新店區,"88,284"
高雄市三民區,"86,221"
臺北市士林區,"85,669"
臺北市內湖區,"83,603"
臺北市文山區,"78,453"
高雄市鳳山區,"78,011"
臺北市北投區,"73,050"
臺北市中山區,"72,732"
臺北市信義區,"70,423"
新北市永和區,"68,576"
臺北市松山區,"67,438"
新北市土城區,"61,330"
彰化縣彰化市,"59,190"
臺中市北屯區,"58,685"
新北市汐止區,"58,523"
新竹市東區,"54,431"
臺中市西屯區,"52,323"
桃園市平鎮區,"52,176"
臺北市萬華區,"49,704"
臺北市中正區,"49,205"
臺南市永康區,"48,952"
新北市蘆洲區,"48,538"
臺南市東區,"47,816"
新北市樹林區,"47,610"
高雄市苓雅區,"47,098"
高雄市前鎮區,"45,997"
高雄市左營區,"44,492"
臺中市大里區,"44,475"
桃園市八德區,"44,256"
屏東縣屏東市,"41,649"
新北市淡水區,"41,418"
臺中市豐原區,"41,068"
新竹縣竹北市,"40,106"
臺中市南屯區,"39,965"
高雄市楠梓區,"39,861"
新竹市北區,"39,355"
桃園市蘆竹區,"39,343"
桃園市楊梅區,"38,743"
臺北市大同區,"37,039"
臺中市太平區,"36,563"
桃園市龜山區,"36,506"
高雄市小港區,"36,081"
臺中市北區,"35,390"
臺南市安南區,"35,039"
臺北市南港區,"34,633"
高雄市鼓山區,"32,058"
臺南市北區,"31,671"
臺中市西區,"31,035"
嘉義市西區,"30,086"
臺中市南區,"29,786"
彰化縣員林市,"28,509"
嘉義市東區,"27,894"
桃園市龍潭區,"27,683"
臺南市南區,"27,437"
苗栗縣頭份市,"25,640"
花蓮縣花蓮市,"24,902"
臺中市潭子區,"24,820"
新竹縣竹東鎮,"24,597"
新北市三峽區,"24,142"
苗栗縣苗栗市,"23,870"
南投縣南投市,"23,843"
雲林縣斗六市,"23,475"
新北市林口區,"23,320"
高雄市岡山區,"22,849"
基隆市安樂區,"22,824"
彰化縣和美鎮,"22,279"
新北市鶯歌區,"21,817"
新北市泰山區,"21,511"
高雄市大寮區,"21,435"
宜蘭縣宜蘭市,"21,237"
南投縣草屯鎮,"21,169"
苗栗縣竹南鎮,"20,931"
臺中市大雅區,"20,720"
桃園市大園區,"20,159"
桃園市大溪區,"19,969"
新北市五股區,"19,762"
臺南市中西區,"19,744"
新竹縣湖口鄉,"19,599"
新竹市香山區,"19,431"
臺中市清水區,"19,259"
彰化縣鹿港鎮,"19,188"
臺中市沙鹿區,"18,907"
臺南市新營區,"18,873"
臺東縣臺東市,"18,856"
花蓮縣吉安鄉,"18,460"
臺中市大甲區,"18,267"
臺中市龍井區,"17,571"
臺中市東區,"16,933"
高雄市仁武區,"16,888"
宜蘭縣羅東鎮,"16,664"
臺南市仁德區,"16,173"
臺中市烏日區,"15,947"
臺中市神岡區,"15,338"
基隆市七堵區,"15,151"
高雄市新興區,"14,957"
臺南市歸仁區,"14,454"
桃園市觀音區,"14,439"
高雄市林園區,"14,433"
基隆市信義區,"14,068"
臺南市安平區,"14,023"
嘉義縣民雄鄉,"14,018"
臺中市霧峰區,"13,939"
雲林縣虎尾鎮,"13,610"
臺中市梧棲區,"13,590"
基隆市中正區,"13,567"
新竹縣新豐鄉,"13,351"
南投縣埔里鎮,"13,221"
臺中市大肚區,"13,116"
基隆市中山區,"12,694"
臺南市佳里區,"12,555"
高雄市路竹區,"12,455"
宜蘭縣冬山鄉,"12,209"
基隆市仁愛區,"11,978"
臺中市后里區,"11,630"
桃園市新屋區,"11,322"
苗栗縣苑裡鎮,"11,243"
高雄市鳥松區,"11,147"
澎湖縣馬公市,"11,004"
彰化縣溪湖鎮,"10,747"
彰化縣花壇鄉,"10,515"
臺南市麻豆區,"10,273"
彰化縣福興鄉,"10,170"
臺中市東勢區,"9,979"
臺南市善化區,"9,940"
屏東縣潮州鎮,"9,929"
基隆市暖暖區,"9,912"
新北市瑞芳區,"9,422"
南投縣竹山鎮,"9,269"
臺南市新化區,"9,177"
屏東縣內埔鄉,"9,124"
雲林縣斗南鎮,"9,122"
新竹縣新埔鎮,"9,119"
嘉義縣水上鄉,"9,080"
高雄市橋頭區,"8,996"
宜蘭縣五結鄉,"8,860"
彰化縣社頭鄉,"8,832"
彰化縣秀水鄉,"8,768"
彰化縣二林鎮,"8,675"
宜蘭縣蘇澳鎮,"8,643"
彰化縣田中鎮,"8,620"
新北市八里區,"8,580"
苗栗縣後龍鎮,"8,516"
苗栗縣通霄鎮,"8,497"
臺南市新市區,"8,373"
屏東縣萬丹鄉,"8,286"
苗栗縣公館鄉,"8,014"
高雄市前金區,"7,993"
高雄市大樹區,"7,871"
嘉義縣朴子市,"7,856"
彰化縣伸港鄉,"7,835"
雲林縣北港鎮,"7,796"
屏東縣東港鎮,"7,779"
高雄市梓官區,"7,698"
金門縣金城鎮,"7,610"
彰化縣永靖鄉,"7,533"
彰化縣大村鄉,"7,529"
雲林縣西螺鎮,"7,433"
宜蘭縣礁溪鄉,"7,334"
臺南市關廟區,"7,307"
新竹縣關西鎮,"7,293"
嘉義縣中埔鄉,"7,206"
高雄市大社區,"7,081"
彰化縣埔心鄉,"7,051"
南投縣名間鄉,"6,765"
彰化縣埔鹽鄉,"6,743"
臺中市外埔區,"6,635"
高雄市美濃區,"6,573"
高雄市旗山區,"6,570"
彰化縣北斗鎮,"6,552"
嘉義縣太保市,"6,533"
高雄市湖內區,"6,513"
高雄市鹽埕區,"6,418"
新北市深坑區,"6,187"
宜蘭縣員山鄉,"5,998"
臺南市安定區,"5,992"
屏東縣新園鄉,"5,934"
高雄市阿蓮區,"5,887"
高雄市茄萣區,"5,819"
嘉義縣大林鎮,"5,817"
高雄市燕巢區,"5,776"
宜蘭縣頭城鎮,"5,650"
嘉義縣新港鄉,"5,592"
新北市三芝區,"5,556"
雲林縣麥寮鄉,"5,507"
臺南市學甲區,"5,500"
彰化縣埤頭鄉,"5,434"
雲林縣莿桐鄉,"5,318"
嘉義縣竹崎鄉,"5,268"
新竹縣芎林鄉,"5,213"
雲林縣古坑鄉,"5,192"
新北市金山區,"5,163"
屏東縣長治鄉,"5,162"
臺南市鹽水區,"5,117"
臺南市白河區,"4,930"
高雄市旗津區,"4,877"
彰化縣溪州鄉,"4,868"
金門縣金湖鎮,"4,849"
臺南市六甲區,"4,793"
彰化縣田尾鄉,"4,784"
臺南市下營區,"4,753"
彰化縣芬園鄉,"4,731"
臺南市西港區,"4,670"
雲林縣土庫鎮,"4,664"
臺南市官田區,"4,629"
宜蘭縣壯圍鄉,"4,613"
彰化縣芳苑鄉,"4,591"
臺南市後壁區,"4,590"
苗栗縣銅鑼鄉,"4,558"
嘉義縣布袋鎮,"4,453"
屏東縣恆春鎮,"4,390"
臺中市中區,"4,383"
新北市萬里區,"4,365"
臺南市柳營區,"4,280"
臺中市大安區,"4,143"
雲林縣口湖鄉,"4,115"
雲林縣元長鄉,"4,112"
花蓮縣玉里鎮,"4,089"
宜蘭縣三星鄉,"4,024"
金門縣金寧鄉,"3,957"
苗栗縣三義鄉,"3,948"
雲林縣崙背鄉,"3,897"
臺中市新社區,"3,875"
花蓮縣新城鄉,"3,830"
彰化縣線西鄉,"3,799"
雲林縣水林鄉,"3,793"
嘉義縣六腳鄉,"3,791"
高雄市彌陀區,"3,759"
雲林縣二崙鄉,"3,732"
雲林縣四湖鄉,"3,721"
新竹縣寶山鄉,"3,678"
屏東縣枋寮鄉,"3,668"
屏東縣里港鄉,"3,657"
雲林縣林內鄉,"3,615"
雲林縣臺西鄉,"3,607"
雲林縣大埤鄉,"3,531"
臺南市七股區,"3,518"
屏東縣鹽埔鄉,"3,445"
苗栗縣造橋鄉,"3,431"
臺南市東山區,"3,316"
新竹縣橫山鄉,"3,311"
嘉義縣東石鄉,"3,294"
臺南市將軍區,"3,286"
屏東縣九如鄉,"3,258"
嘉義縣義竹鄉,"3,228"
南投縣水里鄉,"3,189"
花蓮縣壽豐鄉,"3,177"
金門縣金沙鎮,"3,152"
臺中市石岡區,"3,149"
彰化縣二水鄉,"3,125"
屏東縣萬巒鄉,"3,075"
屏東縣竹田鄉,"3,030"
高雄市永安區,"2,995"
屏東縣林邊鄉,"2,966"
屏東縣高樹鄉,"2,888"
苗栗縣卓蘭鎮,"2,834"
苗栗縣頭屋鄉,"2,832"
新北市石門區,"2,770"
屏東縣佳冬鄉,"2,759"
南投縣鹿谷鄉,"2,640"
苗栗縣大湖鄉,"2,639"
新北市貢寮區,"2,609"
南投縣國姓鄉,"2,587"
嘉義縣鹿草鄉,"2,576"
嘉義縣梅山鄉,"2,549"
嘉義縣溪口鄉,"2,504"
南投縣中寮鄉,"2,496"
花蓮縣秀林鄉,"2,477"
彰化縣大城鄉,"2,446"
南投縣魚池鄉,"2,423"
雲林縣東勢鄉,"2,358"
新竹縣北埔鄉,"2,352"
臺南市玉井區,"2,346"
臺東縣成功鎮,"2,344"
花蓮縣光復鄉,"2,335"
屏東縣崁頂鄉,"2,333"
彰化縣竹塘鄉,"2,311"
屏東縣麟洛鄉,"2,282"
花蓮縣鳳林鎮,"2,241"
臺東縣卑南鄉,"2,209"
雲林縣褒忠鄉,"2,184"
澎湖縣湖西鄉,"2,111"
新北市雙溪區,"2,107"
高雄市內門區,"2,060"
南投縣集集鎮,"2,023"
臺南市大內區,"1,945"
花蓮縣瑞穗鄉,"1,936"
屏東縣南州鄉,"1,900"
苗栗縣南庄鄉,"1,866"
臺南市北門區,"1,821"
金門縣烈嶼鄉,"1,764"
苗栗縣西湖鄉,"1,666"
