地區,綜合所得總額-中位數(萬元)
新竹縣竹北市,83.2
臺北市大安區,80.6
新竹市東區,77.7
臺北市松山區,75.0
臺北市中正區,73.9
連江縣南竿鄉,73.5
臺北市文山區,70.7
臺北市內湖區,70.5
連江縣東引鄉,69.2
連江縣莒光鄉,68.4
新北市林口區,67.2
臺東縣綠島鄉,67.1
臺北市信義區,66.5
臺北市中山區,66.0
金門縣金城鎮,65.8
新竹縣寶山鄉,65.7
桃園市蘆竹區,65.3
臺中市南屯區,64.7
金門縣金寧鄉,64.2
新北市永和區,64.0
高雄市鳥松區,63.9
金門縣烏坵鄉,63.5
臺北市士林區,63.4
金門縣金湖鎮,62.9
新北市新店區,62.5
臺北市北投區,62.5
連江縣北竿鄉,62.0
新竹縣竹東鎮,62.0
桃園市桃園區,62.0
臺南市東區,62.0
新竹市北區,61.9
高雄市左營區,61.8
澎湖縣馬公市,61.5
臺中市西區,60.9
臺中市西屯區,60.9
臺北市南港區,60.0
金門縣金沙鎮,59.9
新北市淡水區,59.8
新北市汐止區,59.6
高雄市鼓山區,59.6
新竹縣芎林鄉,59.4
桃園市中壢區,58.9
臺南市新營區,58.6
新竹縣新豐鄉,58.5
嘉義市東區,58.4
金門縣烈嶼鄉,58.1
臺中市南區,58.1
高雄市前金區,58.0
新竹市香山區,57.9
高雄市三民區,57.7
高雄市苓雅區,57.7
基隆市安樂區,57.6
臺北市大同區,57.6
桃園市楊梅區,57.4
高雄市新興區,57.3
高雄市楠梓區,57.2
新北市深坑區,57.1
嘉義縣太保市,56.9
桃園市龜山區,56.9
新北市中和區,56.9
桃園市龍潭區,56.8
高雄市小港區,56.6
基隆市信義區,56.5
臺中市北屯區,56.4
新竹縣湖口鄉,56.3
臺南市安平區,56.3
苗栗縣頭份市,56.2
新北市泰山區,56.2
臺東縣蘭嶼鄉,56.0
桃園市平鎮區,56.0
苗栗縣苗栗市,55.8
苗栗縣竹南鎮,55.8
新北市板橋區,55.6
臺南市善化區,55.6
臺中市北區,55.6
高雄市鳳山區,55.5
臺東縣臺東市,55.3
新竹縣新埔鎮,55.2
宜蘭縣宜蘭市,55.2
臺南市北區,55.0
屏東縣麟洛鄉,54.9
雲林縣虎尾鎮,54.9
高雄市前鎮區,54.9
花蓮縣花蓮市,54.5
高雄市橋頭區,54.5
臺北市萬華區,54.4
雲林縣麥寮鄉,54.3
桃園市觀音區,54.3
高雄市仁武區,54.3
澎湖縣七美鄉,54.2
嘉義縣朴子市,54.2
雲林縣斗六市,54.1
苗栗縣泰安鄉,54.1
臺南市中西區,54.1
基隆市暖暖區,54.1
臺東縣金峰鄉,54.0
屏東縣霧臺鄉,54.0
屏東縣屏東市,53.9
基隆市中山區,53.8
宜蘭縣羅東鎮,53.6
澎湖縣湖西鄉,53.5
南投縣南投市,53.5
桃園市大園區,53.5
新北市烏來區,53.5
嘉義市西區,53.4
新北市三峽區,53.4
高雄市林園區,53.4
高雄市岡山區,53.4
臺南市永康區,53.4
桃園市八德區,53.2
新北市新莊區,53.2
高雄市美濃區,53.2
新北市蘆洲區,53.0
基隆市仁愛區,52.9
新竹縣峨眉鄉,52.8
桃園市新屋區,52.8
苗栗縣頭屋鄉,52.6
臺南市後壁區,52.6
新北市樹林區,52.4
新北市土城區,52.4
苗栗縣西湖鄉,52.3
高雄市大社區,52.3
臺中市中區,52.3
澎湖縣望安鄉,52.2
苗栗縣造橋鄉,52.2
基隆市中正區,52.2
基隆市七堵區,52.2
屏東縣長治鄉,52.0
新竹縣橫山鄉,52.0
屏東縣獅子鄉,51.9
苗栗縣公館鄉,51.9
高雄市鹽埕區,51.9
苗栗縣三義鄉,51.8
花蓮縣吉安鄉,51.7
嘉義縣新港鄉,51.7
新竹縣關西鎮,51.7
彰化縣彰化市,51.6
新北市八里區,51.6
高雄市大寮區,51.6
屏東縣南州鄉,51.5
臺南市麻豆區,51.4
臺南市六甲區,51.4
新北市三重區,51.3
屏東縣內埔鄉,51.2
高雄市桃源區,51.2
澎湖縣白沙鄉,51.1
嘉義縣鹿草鄉,51.1
雲林縣北港鎮,51.0
桃園市大溪區,51.0
臺南市新市區,51.0
屏東縣萬丹鄉,50.9
嘉義縣民雄鄉,50.8
雲林縣斗南鎮,50.8
桃園市復興區,50.8
屏東縣潮州鎮,50.7
新北市五股區,50.7
宜蘭縣冬山鄉,50.6
嘉義縣大林鎮,50.5
彰化縣員林市,50.5
苗栗縣銅鑼鄉,50.5
臺南市下營區,50.5
屏東縣林邊鄉,50.4
臺中市沙鹿區,50.4
高雄市那瑪夏區,50.3
臺中市潭子區,50.3
臺中市烏日區,50.3
雲林縣西螺鎮,50.1
雲林縣二崙鄉,50.1
臺南市仁德區,50.1
臺中市東區,50.1
臺中市龍井區,50.1
彰化縣田中鎮,50.0
南投縣草屯鎮,50.0
新竹縣北埔鄉,50.0
嘉義縣梅山鄉,49.9
彰化縣二水鄉,49.9
彰化縣竹塘鄉,49.9
屏東縣佳冬鄉,49.8
嘉義縣中埔鄉,49.8
新北市鶯歌區,49.8
臺南市歸仁區,49.8
臺東縣關山鎮,49.7
屏東縣竹田鄉,49.7
屏東縣牡丹鄉,49.7
嘉義縣阿里山鄉,49.7
臺南市官田區,49.7
臺南市佳里區,49.7
臺中市大里區,49.7
苗栗縣三灣鄉,49.6
臺南市柳營區,49.6
臺中市梧棲區,49.6
雲林縣土庫鎮,49.5
高雄市大樹區,49.5
花蓮縣玉里鎮,49.4
嘉義縣六腳鄉,49.4
雲林縣東勢鄉,49.4
彰化縣北斗鎮,49.4
彰化縣二林鎮,49.4
新竹縣五峰鄉,49.4
臺中市大肚區,49.4
雲林縣古坑鄉,49.3
