地區,綜合所得總額-變異係數(萬元)
彰化縣大村鄉,166.6
臺北市松山區,127.9
臺北市中正區,126.5
新竹市東區,95.3
臺北市中山區,92.8
臺北市信義區,83.9
屏東縣枋山鄉,65.0
彰化縣員林市,58.8
臺北市大安區,58.4
臺北市士林區,56.4
新北市淡水區,47.3
新竹市香山區,43.6
臺南市中西區,43.1
宜蘭縣員山鄉,40.0
新北市五股區,32.8
屏東縣恆春鎮,32.4
苗栗縣南庄鄉,31.8
臺中市外埔區,31.6
新北市石門區,29.8
雲林縣斗六市,29.6
高雄市新興區,29.1
新北市三重區,28.6
臺北市北投區,27.5
高雄市鹽埕區,26.4
高雄市鳥松區,25.1
臺中市西區,24.5
臺北市大同區,24.2
臺北市萬華區,24.2
臺中市大甲區,23.7
臺中市豐原區,23.7
臺中市東區,23.5
彰化縣鹿港鎮,23.3
臺東縣東河鄉,23.0
臺南市永康區,22.6
新北市蘆洲區,22.5
臺中市中區,22.4
臺北市內湖區,21.8
新北市土城區,21.8
桃園市桃園區,21.6
新北市新店區,21.3
臺中市北區,20.1
南投縣埔里鎮,19.7
南投縣南投市,19.3
臺中市西屯區,19.1
新北市新莊區,19.0
高雄市湖內區,18.5
高雄市前金區,18.4
新竹縣寶山鄉,18.3
高雄市鼓山區,17.8
臺中市龍井區,17.8
彰化縣彰化市,17.5
新竹縣竹北市,17.3
新北市八里區,16.9
臺北市文山區,16.8
臺中市南屯區,16.3
臺北市南港區,15.9
高雄市苓雅區,15.3
新竹縣新埔鎮,15.1
彰化縣花壇鄉,15.1
臺南市安定區,15.0
新北市汐止區,14.8
臺南市東區,14.7
新竹市北區,14.6
臺中市梧棲區,14.5
新北市永和區,14.5
新竹縣芎林鄉,14.4
高雄市前鎮區,14.4
新北市板橋區,14.3
新北市樹林區,14.2
高雄市大寮區,14.2
臺中市北屯區,14.2
桃園市蘆竹區,14.1
高雄市楠梓區,14.0
桃園市大溪區,13.9
臺南市南區,13.8
臺南市北區,13.8
臺南市新營區,13.8
高雄市鳳山區,13.7
桃園市龍潭區,13.6
宜蘭縣三星鄉,13.6
臺南市安平區,13.5
新北市萬里區,13.4
宜蘭縣宜蘭市,13.4
新竹縣竹東鎮,13.3
苗栗縣竹南鎮,13.0
澎湖縣西嶼鄉,13.0
臺中市沙鹿區,12.9
彰化縣和美鎮,12.8
基隆市仁愛區,12.8
新北市石碇區,12.6
新北市烏來區,12.3
新北市中和區,12.2
高雄市橋頭區,12.0
高雄市三民區,11.9
高雄市左營區,11.8
南投縣草屯鎮,11.7
嘉義市西區,11.6
基隆市中正區,11.6
臺南市歸仁區,11.6
桃園市楊梅區,11.6
臺中市霧峰區,11.6
臺中市神岡區,11.5
新北市深坑區,11.5
桃園市龜山區,11.5
桃園市八德區,11.5
臺中市太平區,11.4
新北市林口區,11.4
花蓮縣花蓮市,11.4
桃園市中壢區,11.4
彰化縣福興鄉,11.3
新北市三峽區,11.3
嘉義市東區,11.3
高雄市岡山區,11.3
彰化縣田尾鄉,11.2
南投縣集集鎮,11.2
彰化縣溪州鄉,11.2
南投縣魚池鄉,11.2
新北市泰山區,11.0
高雄市六龜區,11.0
雲林縣土庫鎮,11.0
新北市三芝區,10.9
臺中市烏日區,10.9
宜蘭縣礁溪鄉,10.9
屏東縣東港鎮,10.9
苗栗縣獅潭鄉,10.9
臺中市大雅區,10.8
苗栗縣造橋鄉,10.8
新北市坪林區,10.8
宜蘭縣羅東鎮,10.7
臺中市大里區,10.7
彰化縣線西鄉,10.7
高雄市大樹區,10.7
苗栗縣頭份市,10.6
高雄市路竹區,10.6
苗栗縣卓蘭鎮,10.5
宜蘭縣壯圍鄉,10.5
基隆市信義區,10.5
雲林縣崙背鄉,10.5
臺中市南區,10.4
屏東縣屏東市,10.4
嘉義縣民雄鄉,10.4
臺南市白河區,10.4
花蓮縣瑞穗鄉,10.3
屏東縣高樹鄉,10.3
屏東縣滿州鄉,10.3
新北市瑞芳區,10.3
臺南市楠西區,10.3
花蓮縣壽豐鄉,10.3
臺南市七股區,10.3
花蓮縣鳳林鎮,10.3
基隆市七堵區,10.2
臺南市佳里區,10.2
雲林縣元長鄉,10.2
臺中市石岡區,10.1
高雄市美濃區,10.1
臺南市善化區,10.1
南投縣名間鄉,10.1
臺中市清水區,10.1
臺南市麻豆區,10.1
臺中市潭子區,10.1
雲林縣虎尾鎮,10.0
高雄市旗山區,10.0
基隆市安樂區,10.0
彰化縣永靖鄉,10.0
新北市金山區,10.0
桃園市新屋區,9.9
臺南市山上區,9.9
桃園市平鎮區,9.9
彰化縣埤頭鄉,9.9
新竹縣橫山鄉,9.9
臺南市東山區,9.9
彰化縣溪湖鎮,9.8
