city,district,facility_name,x_coordinate,y_coordinate
基隆市,仁愛區,三友煤氣行,324931.53800000035,2779659.7270000004
基隆市,仁愛區,三興宮,324300.22831093456,2779527.85396078
基隆市,仁愛區,天王宮,325789.98804786976,2779772.28398274
基隆市,仁愛區,天澤宮,325549.62509372307,2779412.40001911
基隆市,仁愛區,天濟宮,325942.2030976572,2779794.89483232
基隆市,仁愛區,太乙宮,324932.5840347415,2780104.95400611
基隆市,仁愛區,木山殯儀有限公司,324341.38099999994,2779981.453
基隆市,仁愛區,代明宮,324558.35915299226,2780301.29252119
基隆市,仁愛區,古今葬儀社,324890.4390000012,2779832.4919999996
基隆市,仁愛區,台灣中油成功一路站加油站,324373.06900000025,2780029.01
基隆市,仁愛區,台灣中油第一流動站加油站,324353.89099999925,2780061.713
基隆市,仁愛區,台灣國寶殯葬禮儀有限公司,325873.1289999997,2780144.808
基隆市,仁愛區,弘道禮儀企業社,325732.3039999991,2779929.117
基隆市,仁愛區,永生禮儀用品社,324987.54399999965,2778854.109
基隆市,仁愛區,永玖禮儀用品店,324652.65900000033,2780008.578
基隆市,仁愛區,永龍國際禮儀有限公司,324634.6469999998,2778511.865
基隆市,仁愛區,生暉生命事業有限公司,324820.7109999997,2779925.987
基隆市,仁愛區,光德宮,325172.0795503969,2779508.34456693
基隆市,仁愛區,安阜易事業有限公司,324468.3710000013,2780333.2280000006
基隆市,仁愛區,安然生命禮儀企業社,324890.12500000134,2779844.551
基隆市,仁愛區,成功禮儀用品有限公司,324813.96199999965,2780002.029
基隆市,仁愛區,佛心觀音巖,325653.4880742523,2778860.26079366
基隆市,仁愛區,佛教居士林,325114.5615314601,2780031.7971784705
基隆市,仁愛區,協安宮,325549.62509372307,2779412.40001911
基隆市,仁愛區,卓越生命事業股份有限公司,325864.9890000013,2780117.836
基隆市,仁愛區,尚霖企業社,325102.9400000011,2779625.08
基隆市,仁愛區,易誠禮儀社,324967.7980000002,2779314.4750000006
基隆市,仁愛區,明玄宮,325003.6448294781,2779914.9797022706
