地區,申報戶數(戶)
新北市板橋區,"164,747"
桃園市桃園區,"139,883"
新北市新莊區,"127,748"
新北市中和區,"125,630"
桃園市中壢區,"124,643"
新北市三重區,"110,729"
臺北市大安區,"104,300"
新北市新店區,"97,849"
高雄市鳳山區,"96,737"
臺北市內湖區,"96,596"
高雄市三民區,"94,549"
臺北市士林區,"89,205"
臺北市文山區,"87,322"
臺中市北屯區,"84,643"
臺北市北投區,"79,769"
臺北市中山區,"77,811"
臺北市信義區,"71,672"
臺中市西屯區,"70,094"
新北市汐止區,"69,534"
新北市土城區,"69,208"
新北市永和區,"68,647"
臺北市松山區,"68,458"
新竹市東區,"68,104"
新竹縣竹北市,"65,060"
桃園市平鎮區,"64,649"
臺南市永康區,"64,298"
彰化縣彰化市,"63,984"
新北市淡水區,"59,552"
桃園市八德區,"58,765"
新北市蘆洲區,"57,347"
高雄市左營區,"56,862"
臺中市大里區,"56,229"
高雄市楠梓區,"54,526"
臺中市南屯區,"54,303"
臺南市東區,"53,689"
新北市樹林區,"52,623"
臺北市萬華區,"52,543"
桃園市楊梅區,"52,331"
臺北市中正區,"51,119"
桃園市蘆竹區,"51,069"
桃園市龜山區,"50,566"
屏東縣屏東市,"49,772"
高雄市前鎮區,"49,552"
臺中市太平區,"48,434"
臺南市安南區,"48,318"
高雄市苓雅區,"47,954"
臺中市豐原區,"46,002"
新竹市北區,"45,699"
高雄市小港區,"42,414"
臺中市北區,"41,039"
高雄市鼓山區,"40,226"
臺北市大同區,"39,843"
新北市林口區,"39,173"
臺北市南港區,"39,017"
臺中市南區,"38,246"
嘉義市西區,"36,201"
臺南市北區,"36,154"
臺中市西區,"34,480"
桃園市龍潭區,"34,323"
彰化縣員林市,"32,130"
嘉義市東區,"32,003"
臺南市南區,"31,713"
苗栗縣頭份市,"31,392"
新北市三峽區,"30,794"
臺中市潭子區,"30,348"
新竹縣竹東鎮,"28,867"
雲林縣斗六市,"28,425"
高雄市岡山區,"27,048"
花蓮縣花蓮市,"26,906"
高雄市大寮區,"26,638"
南投縣南投市,"26,284"
苗栗縣竹南鎮,"26,202"
新北市五股區,"26,088"
高雄市仁武區,"26,077"
臺中市大雅區,"25,950"
臺中市沙鹿區,"25,792"
宜蘭縣宜蘭市,"25,588"
苗栗縣苗栗市,"25,553"
基隆市安樂區,"25,185"
桃園市大園區,"25,168"
彰化縣和美鎮,"24,767"
新北市鶯歌區,"24,703"
南投縣草屯鎮,"24,314"
新竹縣湖口鄉,"23,965"
臺東縣臺東市,"23,883"
桃園市大溪區,"23,774"
新竹市香山區,"23,698"
臺中市清水區,"23,505"
新北市泰山區,"22,903"
花蓮縣吉安鄉,"22,095"
彰化縣鹿港鎮,"21,632"
臺南市新營區,"21,629"
臺南市中西區,"21,619"
臺中市龍井區,"21,355"
臺中市烏日區,"21,208"
臺中市東區,"20,680"
臺南市仁德區,"20,649"
桃園市觀音區,"19,563"
臺中市大甲區,"19,542"
臺南市安平區,"19,114"
宜蘭縣羅東鎮,"18,524"
澎湖縣馬公市,"17,716"
臺南市歸仁區,"17,602"
臺中市神岡區,"17,514"
新竹縣新豐鄉,"17,135"
嘉義縣民雄鄉,"16,625"
高雄市林園區,"16,531"
基隆市信義區,"16,439"
臺中市梧棲區,"16,366"
雲林縣虎尾鎮,"16,342"
基隆市七堵區,"16,192"
臺中市霧峰區,"15,809"
南投縣埔里鎮,"15,152"
高雄市新興區,"15,132"
臺中市大肚區,"15,034"
臺南市佳里區,"14,858"
臺南市善化區,"14,496"
宜蘭縣冬山鄉,"14,174"
基隆市中正區,"13,986"
高雄市路竹區,"13,526"
高雄市鳥松區,"13,377"
金門縣金城鎮,"13,267"
桃園市新屋區,"13,153"
臺中市后里區,"13,113"
基隆市中山區,"12,640"
彰化縣溪湖鎮,"12,361"
屏東縣潮州鎮,"12,239"
基隆市暖暖區,"11,812"
高雄市橋頭區,"11,807"
彰化縣花壇鄉,"11,716"
苗栗縣苑裡鎮,"11,325"
基隆市仁愛區,"11,204"
彰化縣福興鄉,"11,141"
宜蘭縣五結鄉,"11,117"
臺南市麻豆區,"11,064"
新北市八里區,"11,047"
