地區,綜合所得總額-中位數(萬元)
新竹縣竹北市,96.2
新竹市東區,81.6
臺北市大安區,70.5
臺北市中正區,66.9
臺北市松山區,64.2
連江縣莒光鄉,62.4
連江縣東引鄉,62.4
連江縣南竿鄉,61.8
臺北市內湖區,61.4
新北市林口區,61.1
金門縣烏坵鄉,60.1
臺南市善化區,59.4
臺北市文山區,59.0
臺北市中山區,58.0
臺中市南屯區,56.9
臺北市信義區,55.7
金門縣金湖鎮,55.5
新竹縣寶山鄉,55.0
澎湖縣馬公市,54.8
臺中市西屯區,54.7
連江縣北竿鄉,54.3
金門縣金城鎮,54.3
新竹市北區,54.3
臺北市北投區,54.3
新竹縣竹東鎮,53.9
臺北市士林區,53.9
高雄市鼓山區,53.8
澎湖縣七美鄉,53.6
臺北市南港區,53.6
新北市永和區,53.3
臺南市東區,53.1
桃園市蘆竹區,53.0
高雄市左營區,52.8
苗栗縣竹南鎮,52.1
桃園市桃園區,52.1
高雄市鳥松區,51.9
金門縣金寧鄉,51.1
金門縣烈嶼鄉,51.1
新竹市香山區,51.1
金門縣金沙鎮,51.0
雲林縣麥寮鄉,50.7
桃園市中壢區,50.4
臺中市西區,50.4
澎湖縣湖西鄉,50.2
苗栗縣頭份市,50.2
臺北市大同區,50.2
新北市新店區,50.0
高雄市新興區,50.0
雲林縣虎尾鎮,49.9
高雄市楠梓區,49.6
高雄市前金區,49.5
臺南市北區,49.5
新竹縣新豐鄉,49.4
臺中市北屯區,49.3
新竹縣芎林鄉,49.2
新北市板橋區,49.1
桃園市龜山區,48.8
臺中市南區,48.8
高雄市那瑪夏區,48.7
臺南市安平區,48.5
臺南市中西區,48.5
澎湖縣西嶼鄉,48.4
澎湖縣望安鄉,48.4
新北市中和區,48.2
嘉義市東區,48.0
高雄市三民區,48.0
澎湖縣白沙鄉,47.9
嘉義縣太保市,47.9
高雄市苓雅區,47.9
高雄市茂林區,47.8
臺南市新營區,47.8
高雄市仁武區,47.7
臺中市沙鹿區,47.7
臺南市新市區,47.6
臺南市永康區,47.6
苗栗縣苗栗市,47.5
新北市淡水區,47.5
新竹縣新埔鎮,47.1
新北市汐止區,47.1
高雄市橋頭區,47.0
嘉義縣朴子市,46.9
桃園市平鎮區,46.8
新竹縣湖口鄉,46.6
桃園市龍潭區,46.5
臺東縣綠島鄉,46.2
高雄市前鎮區,46.2
高雄市小港區,46.2
高雄市鳳山區,46.2
雲林縣東勢鄉,46.1
桃園市楊梅區,46.0
雲林縣臺西鄉,45.8
新北市泰山區,45.8
屏東縣泰武鄉,45.5
嘉義市西區,45.5
臺北市萬華區,45.4
雲林縣斗六市,45.3
新北市新莊區,45.3
臺南市仁德區,45.3
屏東縣瑪家鄉,45.1
宜蘭縣宜蘭市,45.1
臺中市北區,45.1
屏東縣屏東市,45.0
屏東縣春日鄉,45.0
基隆市安樂區,45.0
桃園市八德區,44.9
雲林縣崙背鄉,44.7
桃園市大園區,44.7
雲林縣北港鎮,44.5
臺東縣海端鄉,44.1
花蓮縣花蓮市,44.1
宜蘭縣羅東鎮,44.1
新北市三峽區,44.1
臺南市麻豆區,44.1
臺南市歸仁區,44.1
臺中市烏日區,44.1
高雄市桃源區,44.0
臺南市佳里區,44.0
臺中市梧棲區,44.0
臺東縣臺東市,43.9
彰化縣員林市,43.9
臺南市安南區,43.9
苗栗縣頭屋鄉,43.8
基隆市信義區,43.8
臺東縣達仁鄉,43.7
屏東縣麟洛鄉,43.7
屏東縣潮州鎮,43.6
彰化縣彰化市,43.6
基隆市仁愛區,43.6
嘉義縣新港鄉,43.5
新竹縣峨眉鄉,43.5
屏東縣長治鄉,43.3
新北市土城區,43.3
屏東縣南州鄉,43.2
新北市深坑區,43.2
臺南市安定區,43.2
花蓮縣新城鄉,43.1
高雄市岡山區,43.1
屏東縣霧臺鄉,43.0
屏東縣牡丹鄉,43.0
雲林縣土庫鎮,43.0
雲林縣褒忠鄉,42.9
苗栗縣公館鄉,42.9
新北市蘆洲區,42.9
新北市三重區,42.9
高雄市林園區,42.9
花蓮縣吉安鄉,42.8
屏東縣獅子鄉,42.8
雲林縣西螺鎮,42.8
臺南市官田區,42.8
嘉義縣大林鎮,42.7
雲林縣斗南鎮,42.6
臺南市後壁區,42.5
嘉義縣民雄鄉,42.4
桃園市大溪區,42.4
新北市樹林區,42.4
高雄市路竹區,42.4
臺南市柳營區,42.4
臺南市六甲區,42.4
臺中市龍井區,42.4
屏東縣萬丹鄉,42.3
南投縣南投市,42.3
新竹縣關西鎮,42.3
屏東縣來義鄉,42.2
桃園市觀音區,42.1
嘉義縣六腳鄉,42.0
南投縣集集鎮,42.0
屏東縣里港鄉,41.9
雲林縣二崙鄉,41.9
高雄市美濃區,41.9
臺中市大雅區,41.9
嘉義縣布袋鎮,41.8
苗栗縣銅鑼鄉,41.8
屏東縣三地門鄉,41.7
南投縣草屯鎮,41.7
南投縣信義鄉,41.7
苗栗縣西湖鄉,41.7
新竹縣北埔鄉,41.7
臺中市東區,41.7
宜蘭縣五結鄉,41.6
臺南市下營區,41.6
屏東縣竹田鄉,41.5
宜蘭縣冬山鄉,41.5
臺南市南區,41.5
屏東縣東港鎮,41.4
高雄市大社區,41.4
基隆市暖暖區,41.4
臺東縣延平鄉,41.3
臺東縣蘭嶼鄉,41.3
臺南市鹽水區,41.3
臺中市清水區,41.3
苗栗縣造橋鄉,41.2
新竹縣橫山鄉,41.2
新北市五股區,41.2
苗栗縣後龍鎮,41.1
雲林縣元長鄉,41.0
雲林縣四湖鄉,41.0
