地區,綜合所得總額-平均數(萬元)
新竹縣竹北市,174.6
新竹市東區,164.5
臺北市大安區,144.8
臺北市中正區,128.7
臺北市松山區,126.2
新竹縣寶山鄉,123.1
臺北市中山區,116.2
臺北市內湖區,115.7
臺北市信義區,107.9
新北市林口區,107.8
臺北市文山區,106.2
臺北市士林區,104.7
臺北市南港區,100.7
臺南市善化區,100.4
臺中市西屯區,99.7
臺北市北投區,99.2
臺中市南屯區,98.6
新竹市北區,97.5
高雄市鳥松區,93.9
高雄市鼓山區,93.1
新竹縣竹東鎮,92.9
臺中市西區,92.5
臺南市東區,92.1
新北市永和區,91.1
新北市新店區,90.4
臺北市大同區,89.5
高雄市前金區,88.9
臺南市中西區,88.7
高雄市新興區,87.4
桃園市桃園區,86.6
新竹市香山區,86.5
新竹縣芎林鄉,85.8
桃園市蘆竹區,85.8
臺南市北區,85.2
高雄市左營區,83.5
臺南市安平區,83.3
連江縣南竿鄉,82.8
苗栗縣竹南鎮,82.6
新北市板橋區,82.2
臺中市北屯區,80.7
高雄市苓雅區,80.2
新北市汐止區,79.4
新北市中和區,78.6
臺中市北區,78.6
桃園市中壢區,78.4
連江縣莒光鄉,78.3
苗栗縣頭份市,78.2
新北市淡水區,77.6
臺北市萬華區,77.1
金門縣金城鎮,76.4
新竹縣新埔鎮,76.3
臺中市南區,76.1
連江縣東引鄉,76.0
桃園市龜山區,75.7
金門縣金湖鎮,75.5
嘉義市東區,74.8
高雄市三民區,74.7
臺南市永康區,74.6
臺南市新市區,74.3
新竹縣新豐鄉,73.9
臺中市沙鹿區,73.8
金門縣烏坵鄉,73.5
臺中市中區,73.5
新北市新莊區,73.4
桃園市龍潭區,73.0
澎湖縣馬公市,71.8
高雄市前鎮區,71.8
金門縣金沙鎮,71.7
桃園市平鎮區,71.7
雲林縣虎尾鎮,71.4
新北市三峽區,71.4
金門縣金寧鄉,71.3
臺南市新營區,71.1
新北市泰山區,71.0
新北市深坑區,71.0
連江縣北竿鄉,70.9
金門縣烈嶼鄉,70.0
彰化縣彰化市,69.7
高雄市楠梓區,69.7
新北市三重區,69.5
苗栗縣苗栗市,69.3
高雄市仁武區,69.3
桃園市楊梅區,68.9
嘉義市西區,68.8
基隆市安樂區,68.6
桃園市大園區,68.4
新北市樹林區,68.4
高雄市橋頭區,68.4
嘉義縣朴子市,68.2
新北市蘆洲區,68.2
雲林縣斗六市,68.0
彰化縣員林市,68.0
雲林縣麥寮鄉,67.9
澎湖縣七美鄉,67.8
嘉義縣太保市,67.7
宜蘭縣宜蘭市,67.6
臺中市烏日區,67.5
高雄市鳳山區,67.4
臺南市仁德區,67.4
新北市土城區,67.3
桃園市八德區,67.1
高雄市鹽埕區,67.1
臺南市安南區,66.8
新竹縣湖口鄉,66.4
臺南市麻豆區,66.4
花蓮縣花蓮市,65.8
基隆市信義區,65.8
臺中市大雅區,65.8
臺中市東區,65.7
高雄市小港區,65.5
宜蘭縣羅東鎮,65.4
基隆市仁愛區,65.4
臺中市豐原區,64.9
新北市五股區,64.5
臺南市佳里區,64.5
臺南市歸仁區,64.5
臺南市南區,64.3
臺中市龍井區,64.2
屏東縣屏東市,64.1
臺南市安定區,64.1
臺中市梧棲區,64.0
新竹縣峨眉鄉,63.5
雲林縣北港鎮,63.4
桃園市大溪區,63.2
高雄市岡山區,63.2
臺中市大甲區,63.2
臺中市大里區,63.0
南投縣南投市,62.9
臺中市潭子區,62.9
高雄市路竹區,62.8
新竹縣關西鎮,62.7
高雄市茂林區,62.7
雲林縣崙背鄉,62.5
臺東縣綠島鄉,62.3
臺南市新化區,62.3
澎湖縣湖西鄉,62.1
雲林縣斗南鎮,62.1
臺東縣臺東市,62.0
嘉義縣大林鎮,62.0
雲林縣土庫鎮,62.0
南投縣草屯鎮,62.0
新北市八里區,61.9
新竹縣北埔鄉,61.8
臺中市清水區,61.8
澎湖縣西嶼鄉,61.7
澎湖縣望安鄉,61.6
嘉義縣新港鄉,61.5
彰化縣北斗鎮,61.5
基隆市暖暖區,61.5
屏東縣麟洛鄉,61.3
彰化縣鹿港鎮,61.2
基隆市七堵區,61.1
花蓮縣吉安鄉,60.9
嘉義縣民雄鄉,60.8
雲林縣西螺鎮,60.8
苗栗縣公館鄉,60.8
新北市鶯歌區,60.8
屏東縣潮州鎮,60.4
宜蘭縣冬山鄉,60.4
臺中市太平區,60.4
雲林縣褒忠鄉,60.3
彰化縣秀水鄉,60.2
彰化縣和美鎮,60.0
彰化縣花壇鄉,60.0
苗栗縣頭屋鄉,60.0
苗栗縣後龍鎮,60.0
宜蘭縣五結鄉,60.0
高雄市大社區,60.0
屏東縣長治鄉,59.8
宜蘭縣礁溪鄉,59.8
澎湖縣白沙鄉,59.7
新竹縣橫山鄉,59.7
新北市烏來區,59.6
南投縣鹿谷鄉,59.4
苗栗縣西湖鄉,59.4
宜蘭縣三星鄉,59.4
臺中市后里區,59.4
屏東縣萬丹鄉,59.3
雲林縣東勢鄉,59.2
臺南市西港區,59.2
臺南市柳營區,59.1
雲林縣臺西鄉,59.0
彰化縣溪湖鎮,59.0
基隆市中正區,59.0
臺南市官田區,58.8
臺南市六甲區,58.7
彰化縣二林鎮,58.6
宜蘭縣員山鄉,58.6
臺南市下營區,58.6
屏東縣東港鎮,58.3
南投縣集集鎮,58.3
雲林縣二崙鄉,58.2
高雄市林園區,58.2
臺南市後壁區,58.1
臺中市神岡區,58.1
臺中市外埔區,58.1
基隆市中山區,58.0
嘉義縣義竹鄉,57.9
彰化縣埤頭鄉,57.9
高雄市那瑪夏區,57.9
臺中市大肚區,57.9
臺中市霧峰區,57.9
雲林縣元長鄉,57.8
桃園市新屋區,57.8
新北市坪林區,57.7
高雄市美濃區,57.6
桃園市觀音區,57.5
臺南市玉井區,57.5
屏東縣里港鄉,57.4
宜蘭縣壯圍鄉,57.4
彰化縣田中鎮,57.1
苗栗縣三灣鄉,57.1
高雄市阿蓮區,57.1
嘉義縣六腳鄉,57.0
花蓮縣新城鄉,56.9
屏東縣南州鄉,56.9
彰化縣大村鄉,56.9
彰化縣竹塘鄉,56.9
雲林縣水林鄉,56.8
苗栗縣造橋鄉,56.8
臺南市關廟區,56.8
嘉義縣梅山鄉,56.6
臺南市鹽水區,56.6
雲林縣四湖鄉,56.5
屏東縣恆春鎮,56.4
彰化縣福興鄉,56.4
嘉義縣水上鄉,56.3
苗栗縣苑裡鎮,56.3
屏東縣琉球鄉,56.2
嘉義縣中埔鄉,56.2
臺南市學甲區,56.2
彰化縣埔心鄉,56.1
苗栗縣銅鑼鄉,56.1
高雄市燕巢區,56.1
臺中市石岡區,56.1
彰化縣永靖鄉,56.0
彰化縣社頭鄉,56.0
臺東縣關山鎮,55.9
嘉義縣布袋鎮,55.9
嘉義縣鹿草鄉,55.9
南投縣竹山鎮,55.8
雲林縣莿桐鄉,55.7
雲林縣口湖鄉,55.7
彰化縣溪州鄉,55.7
宜蘭縣蘇澳鎮,55.7
高雄市大寮區,55.7
彰化縣田尾鄉,55.6
花蓮縣玉里鎮,55.5
高雄市湖內區,55.5
臺中市大安區,55.5
屏東縣萬巒鄉,55.4
