地區,綜合所得總額-變異係數(萬元)
新北市五股區,46.6
臺北市松山區,33.6
桃園市平鎮區,30.8
臺北市大安區,30.1
臺中市西區,29.1
臺北市中山區,27.0
屏東縣恆春鎮,25.0
高雄市苓雅區,24.6
臺北市士林區,24.3
臺北市信義區,24.2
桃園市龍潭區,22.9
新北市汐止區,22.6
臺北市中正區,22.1
新竹縣寶山鄉,21.7
新北市深坑區,21.1
新北市永和區,21.0
新竹縣芎林鄉,19.1
南投縣國姓鄉,19.1
臺南市永康區,19.0
臺中市中區,18.9
臺中市北區,18.9
臺北市南港區,18.5
新北市新店區,18.3
臺北市內湖區,18.3
臺北市文山區,17.8
新竹市東區,17.7
高雄市新興區,17.4
臺北市北投區,17.1
臺南市中西區,16.9
彰化縣彰化市,16.9
高雄市鼓山區,16.8
宜蘭縣蘇澳鎮,16.7
臺中市西屯區,16.6
新竹市北區,16.5
臺中市南屯區,16.4
臺南市安平區,16.2
彰化縣社頭鄉,16.1
臺中市大里區,16.1
臺南市東區,16.1
臺東縣成功鎮,15.9
新竹縣竹北市,15.9
新竹縣新埔鎮,15.9
新北市淡水區,15.8
高雄市前金區,15.8
臺北市大同區,15.7
臺北市萬華區,15.7
高雄市鳥松區,15.6
彰化縣北斗鎮,15.6
新北市三芝區,15.6
新北市中和區,15.6
彰化縣大村鄉,15.5
新北市板橋區,15.5
桃園市桃園區,15.4
新北市林口區,15.4
基隆市安樂區,15.4
新竹縣竹東鎮,15.2
臺中市龍井區,15.1
臺南市將軍區,15.0
臺東縣長濱鄉,14.9
高雄市三民區,14.9
彰化縣鹿港鎮,14.8
臺中市大甲區,14.7
高雄市鹽埕區,14.7
臺中市北屯區,14.6
宜蘭縣員山鄉,14.5
彰化縣花壇鄉,14.5
臺南市北區,14.4
臺中市豐原區,14.3
嘉義縣阿里山鄉,14.3
新北市石門區,14.2
臺東縣東河鄉,14.2
新北市新莊區,14.2
高雄市茂林區,14.1
桃園市龜山區,14.0
桃園市大園區,14.0
臺中市神岡區,14.0
連江縣南竿鄉,14.0
彰化縣員林市,13.9
新北市三重區,13.8
桃園市楊梅區,13.8
苗栗縣苗栗市,13.7
新竹市香山區,13.7
彰化縣福興鄉,13.6
新北市金山區,13.6
臺中市烏日區,13.6
苗栗縣南庄鄉,13.6
桃園市新屋區,13.5
新北市三峽區,13.5
臺南市龍崎區,13.5
新北市坪林區,13.4
新北市樹林區,13.4
桃園市蘆竹區,13.3
新北市八里區,13.3
高雄市前鎮區,13.2
高雄市左營區,13.2
新北市平溪區,13.2
臺中市霧峰區,13.2
臺中市潭子區,13.1
臺南市南區,13.1
臺中市大雅區,13.1
新北市蘆洲區,13.1
高雄市路竹區,13.0
苗栗縣頭屋鄉,13.0
雲林縣斗南鎮,12.9
高雄市阿蓮區,12.9
新北市土城區,12.9
彰化縣線西鄉,12.9
嘉義市東區,12.9
桃園市中壢區,12.9
宜蘭縣冬山鄉,12.8
新北市鶯歌區,12.7
臺南市善化區,12.7
臺中市沙鹿區,12.7
宜蘭縣南澳鄉,12.7
臺南市七股區,12.7
高雄市六龜區,12.7
宜蘭縣頭城鎮,12.6
臺中市石岡區,12.6
彰化縣永靖鄉,12.6
南投縣鹿谷鄉,12.6
南投縣魚池鄉,12.5
臺南市關廟區,12.5
基隆市信義區,12.5
彰化縣溪州鄉,12.5
彰化縣和美鎮,12.5
金門縣烈嶼鄉,12.5
彰化縣秀水鄉,12.5
新北市貢寮區,12.5
彰化縣田尾鄉,12.4
嘉義市西區,12.4
臺中市東區,12.4
苗栗縣頭份市,12.4
彰化縣芬園鄉,12.4
宜蘭縣三星鄉,12.4
臺南市西港區,12.4
