地區,薪資所得占比(％)
臺東縣海端鄉,97.0
屏東縣霧臺鄉,96.7
屏東縣瑪家鄉,96.5
花蓮縣萬榮鄉,96.4
花蓮縣卓溪鄉,96.3
臺東縣延平鄉,95.6
屏東縣春日鄉,95.3
臺東縣達仁鄉,94.9
臺東縣金峰鄉,94.8
屏東縣泰武鄉,94.7
高雄市那瑪夏區,94.6
宜蘭縣南澳鄉,94.0
屏東縣來義鄉,93.9
屏東縣三地門鄉,93.6
高雄市桃源區,93.5
屏東縣牡丹鄉,93.3
臺東縣蘭嶼鄉,93.0
屏東縣獅子鄉,92.0
連江縣東引鄉,91.9
花蓮縣秀林鄉,91.8
新竹縣五峰鄉,91.6
澎湖縣七美鄉,91.4
新竹縣尖石鄉,91.4
澎湖縣望安鄉,90.1
連江縣莒光鄉,89.8
苗栗縣泰安鄉,89.5
南投縣信義鄉,89.1
連江縣北竿鄉,89.0
連江縣南竿鄉,88.6
臺東縣長濱鄉,88.5
苗栗縣造橋鄉,88.5
高雄市林園區,88.5
基隆市暖暖區,88.4
澎湖縣白沙鄉,88.3
新竹縣新豐鄉,88.3
桃園市復興區,88.3
宜蘭縣大同鄉,88.2
新北市瑞芳區,88.1
屏東縣崁頂鄉,87.9
苗栗縣銅鑼鄉,87.9
新竹縣湖口鄉,87.9
花蓮縣豐濱鄉,87.8
澎湖縣湖西鄉,87.7
基隆市中山區,87.7
臺東縣綠島鄉,87.6
新竹縣竹東鎮,87.6
桃園市觀音區,87.5
臺東縣大武鄉,87.4
高雄市旗津區,87.4
基隆市安樂區,87.3
花蓮縣光復鄉,87.2
南投縣仁愛鄉,87.2
苗栗縣頭屋鄉,87.1
新竹縣新埔鎮,87.1
新竹縣橫山鄉,87.1
高雄市杉林區,87.1
臺南市善化區,87.1
屏東縣佳冬鄉,87.0
苗栗縣公館鄉,87.0
屏東縣枋山鄉,86.9
苗栗縣頭份市,86.9
新竹縣竹北市,86.9
新竹縣北埔鄉,86.9
金門縣金湖鎮,86.8
屏東縣內埔鄉,86.7
基隆市七堵區,86.7
臺南市六甲區,86.6
基隆市信義區,86.6
苗栗縣西湖鄉,86.5
苗栗縣通霄鎮,86.4
金門縣烈嶼鄉,86.3
花蓮縣玉里鎮,86.3
屏東縣長治鄉,86.3
屏東縣竹田鄉,86.3
新竹縣芎林鄉,86.3
桃園市楊梅區,86.3
高雄市小港區,86.3
苗栗縣苗栗市,86.2
新竹縣峨眉鄉,86.2
高雄市茄萣區,86.2
臺南市官田區,86.2
金門縣金寧鄉,86.1
屏東縣新埤鄉,86.1
苗栗縣三義鄉,86.1
苗栗縣獅潭鄉,86.1
新竹縣關西鎮,86.1
高雄市大樹區,86.1
基隆市中正區,86.1
屏東縣萬巒鄉,86.0
屏東縣南州鄉,86.0
彰化縣二水鄉,86.0
高雄市楠梓區,86.0
臺南市下營區,86.0
屏東縣車城鄉,85.9
澎湖縣西嶼鄉,85.8
屏東縣枋寮鄉,85.8
新北市烏來區,85.8
臺東縣太麻里鄉,85.7
花蓮縣富里鄉,85.7
桃園市八德區,85.7
高雄市彌陀區,85.7
屏東縣麟洛鄉,85.6
苗栗縣三灣鄉,85.6
花蓮縣新城鄉,85.5
屏東縣新園鄉,85.5
桃園市龜山區,85.5
高雄市永安區,85.5
高雄市內門區,85.5
苗栗縣竹南鎮,85.4
高雄市美濃區,85.4
臺南市新市區,85.4
臺東縣成功鎮,85.3
金門縣金城鎮,85.2
金門縣烏坵鄉,85.2
桃園市龍潭區,85.2
宜蘭縣壯圍鄉,85.2
澎湖縣馬公市,85.1
臺東縣池上鄉,85.1
